Entity,Code,Day,stringency_index
Philippines,PHL,2020-09-07,68.98
Philippines,PHL,2020-09-08,68.98
Philippines,PHL,2020-09-09,68.98
Philippines,PHL,2020-09-10,68.98
Philippines,PHL,2020-09-11,68.98
Philippines,PHL,2020-09-12,68.98
Philippines,PHL,2020-09-13,68.98
Philippines,PHL,2020-09-14,68.98
Philippines,PHL,2020-09-15,68.98
Philippines,PHL,2020-09-16,68.98
Philippines,PHL,2020-09-17,68.98
Philippines,PHL,2020-09-18,68.98
Philippines,PHL,2020-09-19,68.98
Philippines,PHL,2020-09-20,68.98
Philippines,PHL,2020-09-21,67.13
Philippines,PHL,2020-09-22,67.13
Philippines,PHL,2020-09-23,67.13
Philippines,PHL,2020-09-24,67.13
Philippines,PHL,2020-09-25,67.13
Philippines,PHL,2020-09-26,67.13
Philippines,PHL,2020-09-27,67.13
Philippines,PHL,2020-09-28,67.13
Philippines,PHL,2020-09-29,67.13
Philippines,PHL,2020-09-30,67.13
Philippines,PHL,2020-10-01,70.83
Philippines,PHL,2020-10-02,70.83
Philippines,PHL,2020-10-03,70.83
Philippines,PHL,2020-10-04,70.83
Philippines,PHL,2020-10-05,68.98
Philippines,PHL,2020-10-06,68.98
Philippines,PHL,2020-10-07,68.98
Philippines,PHL,2020-10-08,68.98
Philippines,PHL,2020-10-09,68.98
Philippines,PHL,2020-10-10,68.98
Philippines,PHL,2020-10-11,68.98
Philippines,PHL,2020-10-12,68.98
Philippines,PHL,2020-10-13,68.98
Philippines,PHL,2020-10-14,68.98
Philippines,PHL,2020-10-15,68.98
Philippines,PHL,2020-10-16,68.98
Philippines,PHL,2020-10-17,68.98
Philippines,PHL,2020-10-18,68.98
Philippines,PHL,2020-10-19,68.98
Philippines,PHL,2020-10-20,68.98
Philippines,PHL,2020-10-21,68.98
Philippines,PHL,2020-10-22,68.98
Philippines,PHL,2020-10-23,68.98
Philippines,PHL,2020-10-24,68.98
Philippines,PHL,2020-10-25,68.98
Philippines,PHL,2020-10-26,68.98
Philippines,PHL,2020-10-27,68.98
Philippines,PHL,2020-10-28,68.98
Philippines,PHL,2020-10-29,68.98
Philippines,PHL,2020-10-30,68.98
Philippines,PHL,2020-10-31,68.98
Philippines,PHL,2020-11-01,68.98
Philippines,PHL,2020-11-02,68.98
Philippines,PHL,2020-11-03,68.98
Philippines,PHL,2020-11-04,68.98
Philippines,PHL,2020-11-05,68.98
Philippines,PHL,2020-11-06,68.98
Philippines,PHL,2020-11-07,68.98
Philippines,PHL,2020-11-08,68.98
Philippines,PHL,2020-11-09,68.98
Philippines,PHL,2020-11-10,68.98
Philippines,PHL,2020-11-11,68.98
Philippines,PHL,2020-11-12,68.98
Philippines,PHL,2020-11-13,68.98
Philippines,PHL,2020-11-14,68.98
Philippines,PHL,2020-11-15,68.98
Philippines,PHL,2020-11-16,68.98
Philippines,PHL,2020-11-17,71.76
Philippines,PHL,2020-11-18,71.76
Philippines,PHL,2020-11-19,71.76
Philippines,PHL,2020-11-20,71.76
Philippines,PHL,2020-11-21,71.76
Philippines,PHL,2020-11-22,71.76
Philippines,PHL,2020-11-23,71.76
Philippines,PHL,2020-11-24,68.98
Philippines,PHL,2020-11-25,68.98
Philippines,PHL,2020-11-26,68.98
Philippines,PHL,2020-11-27,68.98
Philippines,PHL,2020-11-28,68.98
Philippines,PHL,2020-11-29,68.98
Philippines,PHL,2020-11-30,68.98
Philippines,PHL,2020-12-01,68.98
Philippines,PHL,2020-12-02,68.98
Philippines,PHL,2020-12-03,68.98
Philippines,PHL,2020-12-04,68.98
Philippines,PHL,2020-12-05,68.98
Philippines,PHL,2020-12-06,68.98
Philippines,PHL,2020-12-07,68.98
Philippines,PHL,2020-12-08,64.81
Philippines,PHL,2020-12-09,64.81
Philippines,PHL,2020-12-10,64.81
Philippines,PHL,2020-12-11,64.81
Philippines,PHL,2020-12-12,64.81
Philippines,PHL,2020-12-13,64.81
Philippines,PHL,2020-12-14,64.81
Philippines,PHL,2020-12-15,64.81
Philippines,PHL,2020-12-16,64.81
Philippines,PHL,2020-12-17,64.81
Philippines,PHL,2020-12-18,64.81
Philippines,PHL,2020-12-19,64.81
Philippines,PHL,2020-12-20,64.81
Philippines,PHL,2020-12-21,64.81
Philippines,PHL,2020-12-22,64.81
Philippines,PHL,2020-12-23,64.81
Philippines,PHL,2020-12-24,64.81
Philippines,PHL,2020-12-25,64.81
